# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACSS3	ACSS3	XM_001915509.5	protein_coding	1	1	451	10	0	1	14	418	1	0	0	1	8
ALX1	ALX1	XM_001493730.5	protein_coding	0	1	45	0	0	0	4	34	1	0	0	0	7
ATP2B1	ATP2B1	XM_023631606.1	protein_coding	0	0	108	0	0	0	2	91	0	0	0	0	15
ATP2B1	ATP2B1	XM_023631607.1	protein_coding	0	0	108	0	0	0	2	91	0	0	0	0	15
ATP2B1	ATP2B1	XM_023631608.1	protein_coding	0	0	107	0	0	0	1	91	0	0	0	0	15
C28H12orf29	C28H12orf29	XM_001915034.5	protein_coding	0	0	36	0	0	2	7	15	0	0	0	0	12
C28H12orf29	C28H12orf29	XR_002804559.1		0	0	36	0	0	0	7	15	0	2	0	0	12
C28H12orf50	C28H12orf50	XM_023631202.1	protein_coding	1	2	120	0	1	1	1	107	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631204.1	protein_coding	1	2	120	0	1	1	1	107	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631205.1	protein_coding	1	2	120	0	1	1	1	107	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631206.1	protein_coding	1	1	121	0	1	1	1	108	1	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631207.1	protein_coding	1	1	121	0	1	1	1	108	1	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631208.1	protein_coding	0	2	123	0	0	4	1	109	2	0	0	0	9
C28H12orf50	C28H12orf50	XM_023631209.1	protein_coding	0	2	122	0	0	1	1	109	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631210.1	protein_coding	0	2	122	0	0	1	1	109	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631211.1	protein_coding	0	2	120	0	0	0	1	108	2	0	0	0	11
C28H12orf50	C28H12orf50	XM_023631212.1	protein_coding	0	2	123	0	0	4	1	109	2	0	0	0	9
CCDC59	CCDC59	NM_001308949.1	protein_coding	2	2	16	0	0	0	0	5	2	0	1	1	12
CEP290	CEP290	NM_001308368.1	protein_coding	2	1	180	0	0	0	8	152	1	0	0	2	20
CEP290	CEP290	XM_023630992.1	protein_coding	2	1	180	0	0	1	8	151	1	0	0	2	20
