# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACSS3	ENSECAG00000008242	ENSECAT00000008574	protein_coding	1	1	432	2	0	16	407	1	0	0	1	7
ACSS3	ENSECAG00000008242	ENSECAT00000036312	protein_coding	1	1	432	2	0	16	407	1	0	0	1	7
ACSS3	ENSECAG00000008242	ENSECAT00000053355	protein_coding	1	1	432	2	0	16	407	1	0	0	1	7
ALX1	ENSECAG00000008597	ENSECAT00000008741	protein_coding	0	1	47	0	0	4	36	1	0	0	0	7
ATP2B1	ENSECAG00000008450	ENSECAT00000009733	protein_coding	0	0	102	0	0	1	92	0	0	0	0	9
ATP2B1	ENSECAG00000008450	ENSECAT00000009808	protein_coding	0	0	102	0	0	1	92	0	0	0	0	9
C28H12orf29	ENSECAG00000019028	ENSECAT00000020243	protein_coding	0	0	40	3	1	6	13	0	0	0	0	17
C28H12orf50	ENSECAG00000014376	ENSECAT00000015108	protein_coding	0	2	110	0	1	1	94	2	0	0	0	14
C28H12orf50	ENSECAG00000014376	ENSECAT00000036051	protein_coding	0	1	111	0	1	1	95	1	0	0	0	14
CCDC59	ENSECAG00000010450	ENSECAT00000010750	protein_coding	2	2	16	0	0	0	5	2	0	1	1	12
CEP290	ENSECAG00000020694	ENSECAT00000022721	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000048692	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000051398	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000052715	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000057127	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000057905	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000057981	protein_coding	2	1	183	0	0	4	160	1	0	0	2	19
CEP290	ENSECAG00000020694	ENSECAT00000060961	protein_coding	2	1	187	0	0	8	160	1	0	0	2	19
DUSP6	ENSECAG00000037937	ENSECAT00000032477	protein_coding	0	0	89	0	0	7	61	0	0	0	0	21
ENSECAG00000009937	ENSECAG00000009937	ENSECAT00000010156	protein_coding	0	0	12	0	0	2	0	0	0	0	0	10
ENSECAG00000025598	ENSECAG00000025598	ENSECAT00000027610	snRNA	0	0	21	0	0	9	0	0	1	0	0	11
ENSECAG00000027889	ENSECAG00000027889	ENSECAT00000062823		0	0	54	0	0	19	26	0	1	0	0	8
ENSECAG00000028912	ENSECAG00000028912	ENSECAT00000035122		0	0	34	0	0	9	15	0	1	0	0	9
ENSECAG00000029700	ENSECAG00000029700	ENSECAT00000036609		0	0	67	0	0	9	40	0	1	0	0	17
ENSECAG00000032377	ENSECAG00000032377	ENSECAT00000058541		0	0	18	0	0	5	1	0	4	0	0	8
ENSECAG00000032675	ENSECAG00000032675	ENSECAT00000041434		0	0	52	0	0	0	34	0	1	0	0	17
ENSECAG00000032675	ENSECAG00000032675	ENSECAT00000053168		0	0	52	0	0	0	34	0	1	0	0	17
ENSECAG00000033271	ENSECAG00000033271	ENSECAT00000051176		0	0	68	0	0	16	41	0	6	0	0	5
ENSECAG00000033697	ENSECAG00000033697	ENSECAT00000038305		0	0	36	0	0	0	33	0	0	0	0	3
ENSECAG00000034025	ENSECAG00000034025	ENSECAT00000057635		0	0	43	0	0	7	31	0	0	0	0	5
ENSECAG00000036271	ENSECAG00000036271	ENSECAT00000046131		0	0	86	0	0	0	78	0	0	0	0	8
ENSECAG00000037528	ENSECAG00000037528	ENSECAT00000030191		1	0	86	0	0	56	5	0	10	1	0	16
ENSECAG00000040872	ENSECAG00000040872	ENSECAT00000071769		0	0	14	0	0	1	5	0	1	0	0	7
ENSECAG00000040973	ENSECAG00000040973	ENSECAT00000070286		0	0	65	0	0	15	10	0	4	0	0	36
ENSECAG00000041104	ENSECAG00000041104	ENSECAT00000067968		0	0	127	0	0	14	102	0	0	0	0	11
ENSECAG00000042937	ENSECAG00000042937	ENSECAT00000078722		1	0	89	0	0	7	72	0	5	1	0	6
ENSECAG00000043517	ENSECAG00000043517	ENSECAT00000070597		0	0	27	0	0	4	9	0	0	0	0	14
ENSECAG00000043517	ENSECAG00000043517	ENSECAT00000074137		0	0	19	0	0	5	0	0	0	0	0	14
ENSECAG00000043680	ENSECAG00000043680	ENSECAT00000068987		0	0	49	0	0	16	21	0	1	0	0	11
LIN7A	ENSECAG00000002823	ENSECAT00000003046	protein_coding	0	0	428	0	0	44	355	0	0	0	0	29
LIN7A	ENSECAG00000002823	ENSECAT00000055250	protein_coding	0	0	383	0	0	44	334	0	0	0	0	5
LRRIQ1	ENSECAG00000007701	ENSECAT00000007837	protein_coding	1	2	222	0	0	1	213	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000033472	protein_coding	1	2	224	0	0	2	214	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000035449	protein_coding	1	2	224	0	0	2	214	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000045053	protein_coding	1	1	225	0	0	2	215	1	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000045363	protein_coding	1	2	255	0	0	5	242	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000048070	protein_coding	1	2	224	0	0	2	214	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000050564	protein_coding	1	2	224	0	0	2	214	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000054760	protein_coding	1	2	224	0	0	2	214	2	0	0	1	8
LRRIQ1	ENSECAG00000007701	ENSECAT00000058693	protein_coding	1	2	251	1	0	2	240	2	0	0	1	8
METTL25	ENSECAG00000010894	ENSECAT00000011332	protein_coding	0	0	195	0	0	11	176	0	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000035528	protein_coding	0	1	185	0	0	3	174	1	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000036299	protein_coding	1	0	183	0	0	3	172	0	0	0	1	8
METTL25	ENSECAG00000010894	ENSECAT00000078035	protein_coding	0	1	185	0	0	3	174	1	0	0	0	8
MGAT4C	ENSECAG00000011971	ENSECAT00000055260	protein_coding	2	1	214	0	0	29	163	1	0	0	2	22
MYF5	ENSECAG00000020047	ENSECAT00000021416	protein_coding	0	1	19	0	0	8	3	1	0	0	0	8
