# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACSS3	ACSS3	XM_001915509.5	protein_coding	1	1	439	10	0	1	15	407	1	0	0	1	6
ALX1	ALX1	XM_001493730.5	protein_coding	0	1	47	0	0	0	4	36	1	0	0	0	7
ATP2B1	ATP2B1	XM_023631606.1	protein_coding	0	0	103	0	0	0	2	92	0	0	0	0	9
ATP2B1	ATP2B1	XM_023631607.1	protein_coding	0	0	103	0	0	0	2	92	0	0	0	0	9
ATP2B1	ATP2B1	XM_023631608.1	protein_coding	0	0	102	0	0	0	1	92	0	0	0	0	9
C28H12orf29	C28H12orf29	XM_001915034.5	protein_coding	0	0	38	0	0	1	7	13	0	0	0	0	17
C28H12orf29	C28H12orf29	XR_002804559.1		0	0	38	0	0	0	7	13	0	1	0	0	17
C28H12orf50	C28H12orf50	XM_023631202.1	protein_coding	1	2	110	0	1	1	1	93	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631204.1	protein_coding	1	2	110	0	1	1	1	93	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631205.1	protein_coding	1	2	110	0	1	1	1	93	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631206.1	protein_coding	1	1	111	0	1	1	1	94	1	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631207.1	protein_coding	1	1	111	0	1	1	1	94	1	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631208.1	protein_coding	0	2	113	0	0	9	1	95	2	0	0	0	8
C28H12orf50	C28H12orf50	XM_023631209.1	protein_coding	0	2	112	0	0	1	1	95	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631210.1	protein_coding	0	2	112	0	0	1	1	95	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631211.1	protein_coding	0	2	110	0	0	0	1	94	2	0	0	0	15
C28H12orf50	C28H12orf50	XM_023631212.1	protein_coding	0	2	113	0	0	9	1	95	2	0	0	0	8
CCDC59	CCDC59	NM_001308949.1	protein_coding	2	2	16	0	0	0	0	5	2	0	1	1	12
CEP290	CEP290	NM_001308368.1	protein_coding	2	1	187	0	0	0	8	160	1	0	0	2	19
CEP290	CEP290	XM_023630992.1	protein_coding	2	1	187	0	0	1	8	159	1	0	0	2	19
CEP290	CEP290	XM_023630993.1	protein_coding	2	1	187	0	0	1	8	159	1	0	0	2	19
