# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACSS3	ENSECAG00000008242	ENSECAT00000008574	protein_coding	1	1	445	2	0	16	418	1	0	0	1	9
ACSS3	ENSECAG00000008242	ENSECAT00000036312	protein_coding	1	1	445	2	0	16	418	1	0	0	1	9
ACSS3	ENSECAG00000008242	ENSECAT00000053355	protein_coding	1	1	445	2	0	16	418	1	0	0	1	9
ALX1	ENSECAG00000008597	ENSECAT00000008741	protein_coding	0	1	45	0	0	4	34	1	0	0	0	7
ATP2B1	ENSECAG00000008450	ENSECAT00000009733	protein_coding	0	0	107	0	0	1	91	0	0	0	0	15
ATP2B1	ENSECAG00000008450	ENSECAT00000009808	protein_coding	0	0	107	0	0	1	91	0	0	0	0	15
C28H12orf29	ENSECAG00000019028	ENSECAT00000020243	protein_coding	0	0	38	3	2	6	15	0	0	0	0	12
C28H12orf50	ENSECAG00000014376	ENSECAT00000015108	protein_coding	0	2	120	0	1	1	108	2	0	0	0	10
C28H12orf50	ENSECAG00000014376	ENSECAT00000036051	protein_coding	0	1	121	0	1	1	109	1	0	0	0	10
CCDC59	ENSECAG00000010450	ENSECAT00000010750	protein_coding	2	2	16	0	0	0	5	2	0	1	1	12
CEP290	ENSECAG00000020694	ENSECAT00000022721	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000048692	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000051398	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000052715	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000057127	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000057905	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000057981	protein_coding	2	1	176	0	0	4	152	1	0	0	2	20
CEP290	ENSECAG00000020694	ENSECAT00000060961	protein_coding	2	1	180	0	0	8	152	1	0	0	2	20
DUSP6	ENSECAG00000037937	ENSECAT00000032477	protein_coding	0	0	97	0	0	7	62	0	0	0	0	28
ENSECAG00000009937	ENSECAG00000009937	ENSECAT00000010156	protein_coding	0	0	12	0	0	2	0	0	0	0	0	10
ENSECAG00000025598	ENSECAG00000025598	ENSECAT00000027610	snRNA	0	0	21	0	0	10	0	0	1	0	0	10
ENSECAG00000027889	ENSECAG00000027889	ENSECAT00000062823		0	0	56	0	0	19	27	0	1	0	0	9
ENSECAG00000028912	ENSECAG00000028912	ENSECAT00000035122		0	0	31	0	0	9	17	0	1	0	0	4
ENSECAG00000029700	ENSECAG00000029700	ENSECAT00000036609		0	0	63	0	0	10	41	0	1	0	0	11
ENSECAG00000032377	ENSECAG00000032377	ENSECAT00000058541		0	0	20	0	0	5	1	0	5	0	0	9
ENSECAG00000032675	ENSECAG00000032675	ENSECAT00000041434		0	0	51	0	0	0	33	0	1	0	0	17
ENSECAG00000032675	ENSECAG00000032675	ENSECAT00000053168		0	0	51	0	0	0	33	0	1	0	0	17
ENSECAG00000033271	ENSECAG00000033271	ENSECAT00000051176		0	0	70	0	0	18	39	0	8	0	0	5
ENSECAG00000033697	ENSECAG00000033697	ENSECAT00000038305		0	0	26	0	0	0	26	0	0	0	0	0
ENSECAG00000034025	ENSECAG00000034025	ENSECAT00000057635		0	0	47	0	0	7	35	0	0	0	0	5
ENSECAG00000036271	ENSECAG00000036271	ENSECAT00000046131		0	0	84	0	0	0	76	0	0	0	0	8
ENSECAG00000037528	ENSECAG00000037528	ENSECAT00000030191		1	0	84	0	0	54	5	0	10	1	0	16
ENSECAG00000040872	ENSECAG00000040872	ENSECAT00000071769		0	0	16	0	0	1	3	0	1	0	0	11
ENSECAG00000040973	ENSECAG00000040973	ENSECAT00000070286		0	0	64	0	0	15	10	0	4	0	0	35
