# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACSS3	ACSS3	XM_001915509.5	protein_coding	1	1	397	10	0	1	15	363	1	0	0	1	8
ALX1	ALX1	XM_001493730.5	protein_coding	0	1	45	0	0	0	4	34	1	0	0	0	7
ATP2B1	ATP2B1	XM_023631606.1	protein_coding	0	0	92	0	0	0	2	75	0	0	0	0	15
ATP2B1	ATP2B1	XM_023631607.1	protein_coding	0	0	92	0	0	0	2	75	0	0	0	0	15
ATP2B1	ATP2B1	XM_023631608.1	protein_coding	0	0	91	0	0	0	1	75	0	0	0	0	15
C28H12orf29	C28H12orf29	XM_001915034.5	protein_coding	0	0	33	0	0	1	7	13	0	0	0	0	12
C28H12orf29	C28H12orf29	XR_002804559.1		0	0	33	0	0	0	7	13	0	1	0	0	12
C28H12orf50	C28H12orf50	XM_023631202.1	protein_coding	1	2	101	0	1	1	1	89	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631204.1	protein_coding	1	2	101	0	1	1	1	89	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631205.1	protein_coding	1	2	101	0	1	1	1	89	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631206.1	protein_coding	1	1	102	0	1	1	1	90	1	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631207.1	protein_coding	1	1	102	0	1	1	1	90	1	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631208.1	protein_coding	0	2	104	0	0	4	1	91	2	0	0	0	8
C28H12orf50	C28H12orf50	XM_023631209.1	protein_coding	0	2	103	0	0	1	1	91	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631210.1	protein_coding	0	2	103	0	0	1	1	91	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631211.1	protein_coding	0	2	101	0	0	0	1	90	2	0	0	0	10
C28H12orf50	C28H12orf50	XM_023631212.1	protein_coding	0	2	104	0	0	4	1	91	2	0	0	0	8
CCDC59	CCDC59	NM_001308949.1	protein_coding	2	2	17	0	0	0	0	5	2	0	1	1	13
CEP290	CEP290	NM_001308368.1	protein_coding	2	1	161	0	0	0	8	134	1	0	0	2	19
CEP290	CEP290	XM_023630992.1	protein_coding	2	1	161	0	0	1	8	133	1	0	0	2	19
CEP290	CEP290	XM_023630993.1	protein_coding	2	1	161	0	0	1	8	133	1	0	0	2	19
CEP290	CEP290	XM_023630994.1	protein_coding	2	1	161	0	0	1	8	133	1	0	0	2	19
CEP290	CEP290	XM_023630995.1	protein_coding	3	0	138	0	1	2	8	118	0	0	0	2	10
CEP290	CEP290	XM_023630996.1	protein_coding	2	1	125	0	0	1	8	97	1	0	0	2	19
DUSP6	DUSP6	XM_001491999.6	protein_coding	0	0	48	2	0	3	15	9	0	0	0	0	19
GALNT4	GALNT4	XM_005606501.3	protein_coding	0	0	27	5	0	0	15	0	0	0	0	0	7
KITLG	KITLG	NM_001163962.1	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	16
KITLG	KITLG	XM_005606468.3	protein_coding	0	0	16	0	0	0	0	0	0	0	0	0	16
LIN7A	LIN7A	XM_001490031.5	protein_coding	0	0	442	5	0	3	10	389	0	0	0	0	35
LIN7A	LIN7A	XM_023631553.1	protein_coding	0	0	365	5	0	0	10	346	0	0	0	0	4
LOC102150222	LOC102150222	XM_005606497.3	protein_coding	0	0	5	0	0	0	1	0	0	0	0	0	4
LOC106782684	LOC106782684	XR_001379944.2		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_001379945.2		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804781.1		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804782.1		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804783.1		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804784.1		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804785.1		0	0	45	0	0	0	5	24	0	0	0	0	16
LOC111771013	LOC111771013	XR_002804540.1		0	0	23	0	0	0	4	9	0	0	0	0	10
LOC111771021	LOC111771021	XR_002804560.1		0	0	25	0	0	0	8	5	0	0	0	0	12
LOC111771097	LOC111771097	XR_002804748.1		0	0	45	0	0	0	6	23	0	9	0	0	7
LOC111771107	LOC111771107	XR_002804764.1		1	0	41	0	0	0	8	29	0	2	1	0	3
LOC111771110	LOC111771110	XM_023631611.1	protein_coding	0	0	100	0	0	0	4	96	0	0	0	0	0
LOC111771111	LOC111771111	XR_002804768.1		0	0	140	0	0	0	6	130	0	0	0	0	4
LOC111771112	LOC111771112	XR_002804769.1		0	0	51	0	0	0	5	33	0	6	0	0	7
LOC111771112	LOC111771112	XR_002804770.1		0	0	28	0	0	0	5	7	0	3	0	0	13
LOC111771117	LOC111771117	XR_002804777.1		0	0	329	0	0	0	5	315	0	0	0	0	9
LOC111771120	LOC111771120	XR_002804786.1		0	0	115	0	0	0	5	99	0	4	0	0	7
LOC111771139	LOC111771139	XR_002804807.1		0	0	13	0	0	0	3	0	0	0	0	0	10
LOC111771141	LOC111771141	XR_002804809.1		0	0	4	0	0	0	2	0	0	1	0	0	1
LOC111771151	LOC111771151	XR_002804818.1		0	0	20	0	0	0	9	0	0	1	0	0	10
LRRIQ1	LRRIQ1	XM_023631397.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631398.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631399.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
